code,group,date,age,province,country,s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s1_7,s1_8,s1_9,s1_10,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,pre9,pre10,pre1Grade,pre2Grade,pre3Grade,pre4Grade,pre5Grade,pre6Grade,pre7Grade,pre8Grade,pre9Grade,pre10Grade,preGrades,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post11,post12,post1grade,post2grade,post3grade,post4grade,post5grade,post6grade,post7grade,post8grade,post9grade,post10grade,post11grade,post12grade,postGrades,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,s2_13,s2_14,s2_15,s2_16,s2_17,s2_18,s2_19,s2_20,translated,
MU3Sec2102,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,5,4,4,3,3,4,5,4,D,D,B,D,D,A,C,B,A,B,1,0,0,1,0,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2103,Control,18-Aug-23,19,Bangkok,Thailand,4,4,5,5,4,5,4,4,4,4,A,C,C,D,B,D,B,D,A,B,0,1,0,1,1,1,1,0,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2104,Experiment,18-Aug-23,20,Nakhon Pathom,Thailand,4,4,4,4,4,4,4,4,5,4,A,B,C,D,C,A,C,A,B,B,0,0,0,1,0,0,0,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2105,Control,18-Aug-23,19,Pathum Thani,Thailand,4,4,3,3,4,4,4,4,4,3,D,C,C,D,C,D,C,B,B,A,1,1,0,1,0,1,0,0,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2106,Experiment,18-Aug-23,19,Nonthaburin,Thailand,4,4,5,4,4,4,4,4,4,4,B,C,C,D,A,A,C,C,D,B,0,1,0,1,0,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2107,Control,18-Aug-23,20,Ubon Ratchathani,Thailand,4,5,5,4,5,4,4,5,4,4,D,D,C,D,B,A,C,D,A,C,1,0,0,1,1,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2108,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,3,4,3,3,4,4,5,4,D,B,C,D,A,D,C,C,A,B,1,0,0,1,0,1,0,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2109,Control,18-Aug-23,19,Rayong,Thailand,4,5,4,5,4,4,5,4,5,5,A,D,C,D,B,D,C,C,D,B,0,0,0,1,1,1,0,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2110,Experiment,18-Aug-23,20,Chonburi,Thailand,4,3,4,4,4,4,4,4,3,4,A,D,C,D,B,D,C,A,B,B,0,0,0,1,1,1,0,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2111,Control,18-Aug-23,20,Suphanburi,Thailand,4,4,4,4,4,4,4,4,4,4,A,D,C,D,B,D,C,C,A,B,0,0,0,1,1,1,0,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2112,Experiment,18-Aug-23,18,Nonthaburin,Thailand,5,5,5,4,4,4,5,5,5,5,D,D,C,D,B,D,C,A,B,C,1,0,0,1,1,1,0,1,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2113,Control,18-Aug-23,19,Nakhon Pathom,Thailand,5,5,5,5,5,4,5,5,5,5,D,D,C,D,B,D,C,A,B,B,1,0,0,1,1,1,0,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2114,Experiment,18-Aug-23,19,Nonthaburin,Thailand,5,5,5,2,4,2,4,4,4,4,D,C,B,D,A,D,C,A,A,B,1,1,0,1,0,1,0,1,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2115,Control,18-Aug-23,18,Yunnan,China,4,4,4,5,4,5,4,5,5,4,D,C,D,C,B,B,B,D,D,D,1,1,0,0,1,0,1,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2116,Experiment,18-Aug-23,18,Rayong,Thailand,4,4,5,4,5,4,4,5,5,4,D,D,C,C,B,A,C,D,B,D,1,0,0,0,1,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2117,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,C,C,D,B,C,D,B,A,1,0,0,0,0,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2120,Experiment,18-Aug-23,20,Bangkok,Thailand,4,4,4,4,3,4,3,3,4,3,D,D,B,C,C,C,D,B,D,C,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2121,Control,18-Aug-23,20,Nakhon Pathom,Thailand,4,4,4,4,4,4,4,4,4,5,D,D,B,C,C,C,D,B,D,C,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2122,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,3,3,3,5,5,4,3,5,D,D,B,C,C,C,D,B,D,C,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2123,Control,,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,B,C,D,C,B,C,A,A,D,1,0,0,1,0,0,0,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2124,Experiment,,20,Bangkok,Thailand,4,4,4,4,4,4,4,4,5,4,D,B,C,D,D,A,C,C,A,B,1,0,0,1,0,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2125,Control,,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,5,4,D,D,A,D,A,B,C,C,B,A,1,0,1,1,0,0,0,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2126,Experiment,,19,Nakhon Pathom,Thailand,4,3,3,3,4,4,4,4,4,2,D,B,C,C,A,B,C,B,A,D,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2127,Control,,20,Bangkok,Thailand,4,3,4,4,4,3,4,4,3,4,D,B,B,D,C,B,B,D,C,C,1,0,0,1,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2128,Experiment,,19,Nakhon Pathom,Thailand,4,3,4,4,4,4,4,4,4,4,C,D,A,C,D,A,C,A,A,D,0,0,1,0,0,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2129,Control,,20,Nonthaburin,Thailand,4,3,4,4,4,4,4,3,4,4,C,C,C,D,A,A,C,A,A,A,0,1,0,1,0,0,0,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2130,Experiment,,19,Nakhon Pathom,Thailand,4,5,4,4,4,4,4,3,4,3,A,D,C,D,D,A,C,D,A,B,0,0,0,1,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2131,Control,,19,Ratchaburi,Thailand,4,4,5,4,4,4,4,4,5,5,A,D,A,D,D,B,C,B,A,B,0,0,1,1,0,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2132,Experiment,,19,Chonburi,Thailand,4,4,5,4,4,4,4,5,4,4,A,D,A,D,D,B,C,B,A,B,0,0,1,1,0,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2133,Control,,19,Bangkok,Thailand,4,5,5,5,5,4,5,5,5,5,A,D,C,D,D,A,C,D,A,B,0,0,0,1,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2134,Experiment,,19,Bangkok,Thailand,1,1,2,1,3,4,4,4,1,2,D,C,A,B,C,C,B,D,A,A,1,1,1,0,0,0,1,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2135,Control,,19,Nakhon Pathom,Thailand,4,3,4,4,3,4,3,4,3,4,D,D,A,B,A,D,C,B,A,C,1,0,1,0,0,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2136,Experiment,,19,Bangkok,Thailand,4,3,4,4,5,4,4,3,3,5,B,C,B,A,A,B,C,D,D,A,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2137,Control,,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,B,B,A,B,A,A,B,B,A,B,0,0,1,0,0,0,1,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2138,Experiment,,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,B,D,B,C,D,D,B,D,B,A,0,0,0,0,0,1,1,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2139,Control,,19,Udonthani,Thailand,4,4,5,4,5,4,4,4,5,5,B,A,C,B,D,D,C,D,A,A,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2140,Experiment,,20,Yunnan,China,4,4,4,4,4,4,4,4,5,5,D,C,A,D,C,D,B,A,B,B,1,1,1,1,0,1,1,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2141,Control,,19,Yunnan,China,4,4,5,2,4,2,4,4,4,4,D,C,A,D,B,B,B,D,B,B,1,1,1,1,1,0,1,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2143,Control,,18,Bangkok,,4,4,4,3,3,4,5,4,3,3,A,D,C,D,C,B,B,B,A,B,0,0,0,1,0,0,1,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2144,Experiment,,20,,,3,3,3,3,3,3,3,3,3,3,D,C,B,A,B,C,A,D,B,D,1,1,0,0,1,0,0,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2145,Control,,19,Bangkok,,4,5,3,3,4,4,3,4,5,4,D,D,C,D,A,B,D,A,B,C,1,0,0,1,0,0,0,1,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2146,Experiment,,19,,,4,3,4,3,4,4,3,4,4,3,D,C,B,B,C,D,C,C,D,B,1,1,0,0,0,1,0,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec2147,Control,,19,Samutprakron,,3,4,3,3,4,5,5,4,3,4,C,A,B,C,B,C,B,A,D,A,0,0,0,0,1,0,1,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
